gene_id	gene_description	pathway	module	subheader	topic_ecosystem
K03395	aminoglycoside 3-N-acetyltransferase I [EC:2.3.1.60]		Host Interaction	Antibiotic Resistance	gut
K18815	aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]		Host Interaction	Antibiotic Resistance	gut
K18816	aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]		Host Interaction	Antibiotic Resistance	gut
K00984	[^E		Host Interaction	Antibiotic Resistance	gut
K19272	aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]		Host Interaction	Antibiotic Resistance	gut
K10673	"streptomycin 3""-kinase [EC:2.7.1.87]"		Host Interaction	Antibiotic Resistance	gut
K18345	two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]		Host Interaction	Antibiotic Resistance	gut
K18344	two-component system, OmpR family, response regulator VanR		Host Interaction	Antibiotic Resistance	gut
K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]		Host Interaction	Antibiotic Resistance	gut
K18346	vancomycin resistance protein VanW		Host Interaction	Antibiotic Resistance	gut
K18351	two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]		Host Interaction	Antibiotic Resistance	gut
K18352	two-component system, OmpR family, response regulator VanR		Host Interaction	Antibiotic Resistance	gut
K18354	vancomycin resistance protein VanK		Host Interaction	Antibiotic Resistance	gut
K18353	vancomycin resistance protein VanJ		Host Interaction	Antibiotic Resistance	gut
K18347	D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]		Host Interaction	Antibiotic Resistance	gut
K15739	D-alanine---(R)-lactate ligase [EC:6.1.2.1]		Host Interaction	Antibiotic Resistance	gut
K08641	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]		Host Interaction	Antibiotic Resistance	gut
K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]		Host Interaction	Drug metabolism	gut
K17722	dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]		Host Interaction	Drug metabolism	gut
K17723	dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]		Host Interaction	Drug metabolism	gut
K10678	nitroreductase [EC:1.-.-.-]		Host Interaction	Drug metabolism	gut
K10679	nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]		Host Interaction	Drug metabolism	gut
K22330	tyrosine decarboxylase [EC:4.1.1.25]		Host Interaction	Drug metabolism	gut
K26069	daidzein reductase [EC:1.3.1.-]		Host Interaction	Polyphenol metabolism	gut
K26070	dihydrodaidzein reductase [EC:1.1.1.-]		Host Interaction	Polyphenol metabolism	gut
K26071	tetrahydrodaidzein reductase		Host Interaction	Polyphenol metabolism	gut
K26175	dihydrodaizein racemase [EC:5.1.-.-]		Host Interaction	Polyphenol metabolism	gut
K26176	flavone/flavonol reductase		Host Interaction	Polyphenol metabolism	gut
K26177	chalcone isomerase		Host Interaction	Polyphenol metabolism	gut
K26178	flavanone/flavanol-cleaving reductase		Host Interaction	Polyphenol metabolism	gut
K22906	phloretin hydrolase [EC:3.7.1.4]		Host Interaction	Polyphenol metabolism	gut
K07155	quercetin 2,3-dioxygenase [EC:1.13.11.24]		Host Interaction	Polyphenol metabolism	gut
K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]		Host Interaction	Polyphenol metabolism	gut
K26179	naringenin degradation protein FdeD		Host Interaction	Polyphenol metabolism	gut
K26180	naringenin degradation protein FdeE		Host Interaction	Polyphenol metabolism	gut
K26181	naringenin degradation protein FdeC		Host Interaction	Polyphenol metabolism	gut
K26182	naringenin degradation protein FdeH		Host Interaction	Polyphenol metabolism	gut
K26183	naringenin degradation protein FdeJ		Host Interaction	Polyphenol metabolism	gut
K26184	naringenin degradation protein FdeB		Host Interaction	Polyphenol metabolism	gut
K26185	naringenin degradation protein FdeI		Host Interaction	Polyphenol metabolism	gut
K10759	tannase [EC:3.1.1.20]		Host Interaction	Polyphenol metabolism	gut
K22958	gallate decarboxylase subunit C [EC:4.1.1.59]		Host Interaction	Polyphenol metabolism	gut
K22959	gallate decarboxylase subunit B		Host Interaction	Polyphenol metabolism	gut
K22960	gallate decarboxylase subunit D		Host Interaction	Polyphenol metabolism	gut
K04099	gallate dioxygenase [EC:1.13.11.57]		Host Interaction	Polyphenol metabolism	gut
K12508	trans-feruloyl-CoA synthase [EC:6.2.1.34]		Host Interaction	Polyphenol metabolism	gut
K18383	feruloyl-CoA hydratase/lyase [EC:4.1.2.61]		Host Interaction	Polyphenol metabolism	gut
K22430	caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]		Host Interaction	Polyphenol metabolism	gut
K22431	caffeyl-CoA reductase-Etf complex subunit CarD [EC:1.3.1.108]		Host Interaction	Polyphenol metabolism	gut
K22432	caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]		Host Interaction	Polyphenol metabolism	gut
K01428	urease subunit alpha [EC:3.5.1.5]		Host Interaction	Urea	gut
K01429	urease subunit beta [EC:3.5.1.5]		Host Interaction	Urea	gut
K01430	urease subunit gamma [EC:3.5.1.5]		Host Interaction	Urea	gut
K19611	ferric enterobactin receptor		Pathogenesis & Virulence	Iron acquisition	gut
K16090	catecholate siderophore receptor		Pathogenesis & Virulence	Iron acquisition	gut
K16091	Fe(3+) dicitrate transport protein		Pathogenesis & Virulence	Iron acquisition	gut
K12545	heme acquisition protein HasA		Pathogenesis & Virulence	Iron acquisition	gut
K16152	heme acquisition protein HasR		Pathogenesis & Virulence	Iron acquisition	gut
K15721	pesticin/yersiniabactin receptor		Pathogenesis & Virulence	Iron acquisition	gut
K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid		Pathogenesis & Virulence	Iron acquisition	gut
K16089	outer membrane receptor for ferrienterochelin and colicins		Pathogenesis & Virulence	Iron acquisition	gut
K16087	hemoglobin/transferrin/lactoferrin receptor protein		Pathogenesis & Virulence	Iron acquisition	gut
K02014	iron complex outermembrane recepter protein		Pathogenesis & Virulence	Iron acquisition	gut
K11005	hlyA; hemolysin A	Hemolysin	Pathogenesis & Virulence	Hemolysins	gut
K11032	hlyII; hemolysin II	Hemolysin	Pathogenesis & Virulence	Hemolysins	gut
K11038	hlg, luk; leukocidin/hemolysin toxin family protein	Hemolysin/leukotoxin	Pathogenesis & Virulence	Hemolysins	gut
K06189	corC, tlyC; hemolysin (HlyC) family protein	Hemolysin	Pathogenesis & Virulence	Hemolysins	gut
K07345	major type 1 subunit fimbrin (pilin)		Pathogenesis & Virulence	Adhesion/invasion	gut
K07349	minor fimbrial subunit		Pathogenesis & Virulence	Adhesion/invasion	gut
K07350	minor fimbrial subunit		Pathogenesis & Virulence	Adhesion/invasion	gut
K07352	type 1 fimbrial protein		Pathogenesis & Virulence	Adhesion/invasion	gut
K02650	type IV pilus assembly protein PilA		Pathogenesis & Virulence	Adhesion/invasion	gut
K12790	intimin		Pathogenesis & Virulence	Adhesion/invasion	gut
K12689	campylobacter adhesion protein		Pathogenesis & Virulence	Adhesion/invasion	gut
K13285	invasin B		Pathogenesis & Virulence	Adhesion/invasion	gut
K13287	invasin D		Pathogenesis & Virulence	Adhesion/invasion	gut
K12679	outer membrane protein IcsA		Pathogenesis & Virulence	Adhesion/invasion	gut
K01387	microbial collagenase [EC:3.4.24.3]		Pathogenesis & Virulence	Adhesion/invasion	gut
K21449	trimeric autotransporter adhesin		Pathogenesis & Virulence	Adhesion/invasion	gut
K19231	fibronectin-binding autotransporter adhesin		Pathogenesis & Virulence	Adhesion/invasion	gut
K19232	hyaluronate-binding autotransporter adhesin		Pathogenesis & Virulence	Adhesion/invasion	gut
K19233	ECM component-binding autotransporter adhesin		Pathogenesis & Virulence	Adhesion/invasion	gut
K07279	autotransporter family porin		Pathogenesis & Virulence	Adhesion/invasion	gut
K12678	autotransporter family porin		Pathogenesis & Virulence	Adhesion/invasion	gut
K03219	type III secretion protein C		Pathogenesis & Virulence	Secretion systems	gut
K03222	type III secretion protein J		Pathogenesis & Virulence	Secretion systems	gut
K03224	ATP synthase in type III secretion protein N [EC:7.4.2.8]		Pathogenesis & Virulence	Secretion systems	gut
K03225	type III secretion protein Q		Pathogenesis & Virulence	Secretion systems	gut
K03230	type III secretion protein V		Pathogenesis & Virulence	Secretion systems	gut
K04057	type III secretion protein P		Pathogenesis & Virulence	Secretion systems	gut
K15344	secreted effector protein SseB		Pathogenesis & Virulence	Secretion systems	gut
K15345	secreted effector protein SseC		Pathogenesis & Virulence	Secretion systems	gut
K15346	secreted effector protein SseD		Pathogenesis & Virulence	Secretion systems	gut
K23648	T3SS secreted effector ADP-ribosyltransferase EspJ		Pathogenesis & Virulence	Secretion systems	gut
K23651	T3SS secreted effector EspT		Pathogenesis & Virulence	Secretion systems	gut
K23652	T3SS secreted effector EspW		Pathogenesis & Virulence	Secretion systems	gut
K23653	T3SS effector EspM		Pathogenesis & Virulence	Secretion systems	gut
K23654	T3SS secreted effector NleE		Pathogenesis & Virulence	Secretion systems	gut
K23655	T3SS secreted effector NleC		Pathogenesis & Virulence	Secretion systems	gut
K23656	T3SS secreted effector NleD		Pathogenesis & Virulence	Secretion systems	gut
K23657	T3SS secreted effector NleB		Pathogenesis & Virulence	Secretion systems	gut
K23658	T3SS secreted effector NleF		Pathogenesis & Virulence	Secretion systems	gut
K11903	type VI secretion system secreted protein Hcp		Pathogenesis & Virulence	Secretion systems	gut
K11904	type VI secretion system secreted protein VgrG		Pathogenesis & Virulence	Secretion systems	gut
K01347	IgA-specific serine endopeptidase [EC:3.4.21.72]		Pathogenesis & Virulence	Immune Evasion	gut
K11014	cytolethal distending toxin subunit B		Pathogenesis & Virulence	Toxins	gut
K26579	colibactin biosynthesis peptidase		Pathogenesis & Virulence	Toxins	gut
K19297	subA; subtilase cytotoxin, subunit A	Subtilase cytotoxin	Pathogenesis & Virulence	Toxins	gut
K19298	subB, artB, pltB; subtilase cytotoxin, subunit B	Subtilase cytotoxin	Pathogenesis & Virulence	Toxins	gut
K11028	vacuolating cytotoxin		Pathogenesis & Virulence	Toxins	gut
K10928	cholera enterotoxin subunit A [EC:2.4.2.36]		Pathogenesis & Virulence	Toxins	gut
K10929	cholera enterotoxin subunit B		Pathogenesis & Virulence	Toxins	gut
K16883	heat-stable enterotoxin STa/STI		Pathogenesis & Virulence	Toxins	gut
K16884	heat-stable enterotoxin STb/STII		Pathogenesis & Virulence	Toxins	gut
K11006	shiga toxin subunit A		Pathogenesis & Virulence	Toxins	gut
K11007	shiga toxin subunit B		Pathogenesis & Virulence	Toxins	gut
